Nome;Email;Telefone;Idade;Estado;Faixa Etária;Válido
Eduardo pereira;juliana.lima@gmail.com;(58) 92686-9068;67.0;GO;Idoso;True
Ana nascimento;juliana.almeida@gmail.com;(20) 93969-2714;44.0;PR;Adulto;True
Helena nascimento;daniela.costa@gmail.com;(16) 97314-5826;25.0;RJ;Jovem;True
Daniela souza;juliana.lima@gmail.com;(45) 98971-8097;42.0;RS;Adulto;True
Gustavo lima;igor.silva@gmail.com;(84) 91062-6183;61.0;SP;Idoso;True
Eduardo souza;eduardo.nascimento@gmail.com;(60) 92082-6207;44.0;GO;Adulto;True
Daniela nascimento;bruno.lima@gmail.com;(93) 92784-5395;28.0;PR;Jovem;True
Carlos oliveira;carlos.almeida@gmail.com;(57) 94050-6770;53.0;CE;Adulto;True
Gustavo araujo;eduardo.silva@gmail.com;(98) 90459-5156;23.0;CE;Jovem;True
Helena nascimento;juliana.costa@gmail.com;(67) 98133-2475;51.0;PE;Adulto;True
Fernanda souza;bruno.costa@gmail.com;(80) 92638-2585;56.0;RJ;Adulto;True
Carlos costa;bruno.almeida@gmail.com;(47) 95609-3234;39.0;MG;Adulto;True
Eduardo pereira;gustavo.nascimento@gmail.com;(14) 96335-6271;65.0;GO;Idoso;True
Juliana souza;juliana.ribeiro@gmail.com;(90) 92100-5392;39.0;PE;Adulto;True
Bruno almeida;ana.lima@gmail.com;(44) 98808-4800;76.0;CE;Idoso;True
Gustavo pereira;bruno.ribeiro@gmail.com;(32) 95673-1008;51.0;GO;Adulto;True
Igor pereira;carlos.oliveira@gmail.com;(64) 92839-4067;31.0;SP;Adulto;True
Juliana nascimento;eduardo.nascimento@gmail.com;(64) 99003-3187;66.0;GO;Idoso;True
Daniela silva;igor.pereira@gmail.com;(70) 98228-1070;75.0;SC;Idoso;True
Helena ribeiro;eduardo.souza@gmail.com;(69) 99374-9396;25.0;BA;Jovem;True
Bruno ribeiro;juliana.pereira@gmail.com;(31) 97064-1556;64.0;BA;Idoso;True
Eduardo almeida;igor.souza@gmail.com;(75) 96826-7278;70.0;BA;Idoso;True
Daniela souza;gustavo.costa@gmail.com;(12) 99380-8482;43.0;RS;Adulto;True
Ana oliveira;daniela.lima@gmail.com;(99) 92216-8234;39.0;SC;Adulto;True
Juliana nascimento;juliana.nascimento@gmail.com;(34) 93587-7580;61.0;PE;Idoso;True
Juliana almeida;gustavo.almeida@gmail.com;(53) 91419-7108;73.0;PR;Idoso;True
Carlos silva;bruno.lima@gmail.com;(24) 94457-4624;56.0;GO;Adulto;True
Igor souza;bruno.almeida@gmail.com;(17) 96150-2800;66.0;RS;Idoso;True
Daniela ribeiro;daniela.costa@gmail.com;(53) 94207-2878;50.0;RJ;Adulto;True
Juliana silva;eduardo.nascimento@gmail.com;(64) 95004-9990;73.0;MG;Idoso;True
Ana almeida;juliana.lima@gmail.com;(52) 95336-2065;63.0;SP;Idoso;True
Fernanda lima;gustavo.silva@gmail.com;(87) 91138-1548;21.0;RS;Jovem;True
Ana nascimento;ana.pereira@gmail.com;(85) 92759-7379;63.0;MG;Idoso;True
