nome,email,telefone,idade,estado
Bruno Silva,helena.almeida@hotmail.com,(32) 94358-1177,,PR
Eduardo Pereira,juliana.lima@gmail.com,(58) 92686-9068,67.0,GO
Daniela Oliveira,daniela.pereira@hotmail.com,(41) 92337-2655,57.0,BA
Bruno Nascimento,carlos.costa@hotmail.com,(60) 96944-8353,52.0,PR
Bruno Araujo,gustavo.oliveira@hotmail.com,(96) 91255-9369,76.0,PR
Gustavo Silva,daniela.nascimento@hotmail.com,(69) 91821-1118,76.0,GO
Ana Souza,juliana.araujo@empresa.com,(52) 99996-3600,62.0,PR
Daniela Pereira,eduardo.araujo@empresa.com,(15) 97804-2286,49.0,GO
Igor Araujo,juliana.souza@empresa.com,(87) 99016-1366,25.0,CE
Ana Nascimento,juliana.almeida@gmail.com,(20) 93969-2714,44.0,PR
Daniela Nascimento,ana.souza@hotmail.com,(84) 96514-1530,43.0,BA
Gustavo Pereira,eduardo.oliveira@empresa.com,(34) 95119-7304,34.0,BA
Helena Araujo,gustavo.oliveira@hotmail.com,(91) 91472-8760,20.0,PR
Eduardo Silva,,(21) 97904-5206,25.0,GO
Carlos Ribeiro,helena.silva@yahoo.com.br,(45) 96679-6659,20.0,XX
Fernanda Lima,igor.almeida@gmail.com,(51) 91407-4003,54.0,XX
Carlos Pereira,igor.oliveira@empresa.com,(36) 95574-6966,51.0,BA
Fernanda Souza,bruno.souza@hotmail.com,(63) 94942-2427,54.0,PR
Bruno Ribeiro,gustavo.silva@hotmail.com,(62) 96654-4168,80.0,RJ
Bruno Costa,carlos.silva@yahoo.com.br,,61.0,SC
Fernanda Araujo,eduardo.souza@gmail.com,(35) 93812-9397,76.0,XX
Eduardo Silva,igor.souza@empresa.com,(49) 98338-7547,72.0,BA
Helena Nascimento,daniela.costa@gmail.com,(16) 97314-5826,25.0,RJ
Bruno Ribeiro,juliana.araujo@yahoo.com.br,(51) 92938-6194,27.0,BA
Bruno Nascimento,,(10) 91053-2435,29.0,SP
Eduardo Araujo,igor.araujo@yahoo.com.br,(39) 96514-5254,70.0,BA
Fernanda Araujo,helena.oliveira@empresa.com,(60) 97129-7996,23.0,XX
Daniela Souza,bruno.souza@yahoo.com.br,(90) 97862-8953,41.0,MG
Ana Pereira,helena.silva@empresa.com,(22) 93407-5337,70.0,MG
Eduardo Souza,igor.nascimento@empresa.com,(53) 92452-5489,47.0,RJ
Daniela Souza,juliana.lima@gmail.com,(45) 98971-8097,42.0,RS
Gustavo Lima,igor.silva@gmail.com,(84) 91062-6183,61.0,SP
Helena Costa,bruno.nascimento@yahoo.com.br,(13) 99351-1283,54.0,XX
Carlos Costa,,(35) 95753-2243,78.0,RS
Fernanda Pereira,eduardo.nascimento@yahoo.com.br,(45) 90643-7203,33.0,PE
Eduardo Souza,carlos.oliveira@yahoo.com.br,(86) 92513-5218,70.0,GO
Juliana Oliveira,bruno.almeida@hotmail.com,(61) 95963-2610,35.0,PR
Igor Pereira,fernanda.nascimento@yahoo.com.br,(36) 92372-8467,73.0,MG
Carlos Almeida,igor.pereira@yahoo.com.br,(14) 94902-2699,62.0,RS
Gustavo Lima,juliana.almeida@hotmail.com,(64) 94591-4858,40.0,SC
Igor Pereira,igor.costa@yahoo.com.br,(43) 97734-1423,48.0,RS
Fernanda Silva,helena.silva@yahoo.com.br,(81) 91605-3592,37.0,PE
Daniela Silva,igor.oliveira@empresa.com,(56) 90797-2557,29.0,RJ
Fernanda Ribeiro,ana.silva@yahoo.com.br,(37) 93917-3480,78.0,PR
Eduardo Souza,eduardo.nascimento@gmail.com,(60) 92082-6207,44.0,GO
Daniela Araujo,,(38) 92197-8020,51.0,GO
Fernanda Pereira,helena.costa@yahoo.com.br,(25) 91820-3766,38.0,RS
Helena Ribeiro,helena.souza@hotmail.com,(83) 91771-3293,53.0,PR
Helena Oliveira,carlos.pereira@empresa.com,(37) 90042-1435,68.0,BA
Eduardo Oliveira,gustavo.araujo@yahoo.com.br,(40) 98716-2846,25.0,SC
Daniela Nascimento,bruno.lima@gmail.com,(93) 92784-5395,28.0,PR
Igor Lima,juliana.ribeiro@yahoo.com.br,(63) 98091-2462,26.0,PE
Juliana Ribeiro,bruno.souza@yahoo.com.br,(61) 92004-8155,52.0,PR
Juliana Ribeiro,,,27.0,SC
Fernanda Pereira,helena.araujo@hotmail.com,(20) 91554-8738,70.0,RJ
Carlos Nascimento,eduardo.oliveira@yahoo.com.br,(29) 93885-4742,23.0,SP
Helena Souza,juliana.ribeiro@empresa.com,(51) 99256-3013,46.0,MG
Ana Souza,igor.nascimento@empresa.com,(36) 95920-4379,53.0,CE
Carlos Oliveira,carlos.almeida@gmail.com,(57) 94050-6770,53.0,CE
Gustavo Araujo,gustavo.araujo@hotmail.com,(79) 97543-3249,51.0,GO
Bruno Ribeiro,helena.silva@hotmail.com,(55) 90360-5467,60.0,PE
Gustavo Araujo,eduardo.silva@gmail.com,(98) 90459-5156,23.0,CE
Helena Nascimento,juliana.costa@gmail.com,(67) 98133-2475,51.0,PE
Eduardo Nascimento,daniela.souza@hotmail.com,(64) 99021-3716,74.0,CE
Ana Souza,eduardo.souza@yahoo.com.br,(88) 98818-3837,69.0,SP
Igor Lima,juliana.ribeiro@yahoo.com.br,(93) 92106-5755,38.0,BA
Fernanda Souza,bruno.costa@gmail.com,(80) 92638-2585,56.0,RJ
Eduardo Ribeiro,,(58) 92132-8998,68.0,PR
Carlos Almeida,helena.nascimento@yahoo.com.br,,75.0,CE
Ana Lima,daniela.oliveira@empresa.com,(92) 94666-8195,71.0,SP
Igor Oliveira,helena.lima@empresa.com,(28) 92660-4566,38.0,CE
Igor Souza,igor.nascimento@hotmail.com,(27) 94132-3600,72.0,RS
Eduardo Nascimento,,(35) 97421-4519,42.0,RJ
Juliana Pereira,gustavo.costa@hotmail.com,(20) 92597-6577,55.0,SP
Carlos Costa,bruno.almeida@gmail.com,(47) 95609-3234,39.0,MG
Carlos Nascimento,juliana.ribeiro@empresa.com,(72) 98871-5589,32.0,PE
Igor Silva,carlos.lima@hotmail.com,(88) 90121-5546,53.0,RS
Juliana Costa,,(46) 91479-8254,55.0,PR
Helena Silva,gustavo.lima@yahoo.com.br,(37) 94474-5404,28.0,GO
Bruno Costa,juliana.ribeiro@yahoo.com.br,(54) 97507-5907,56.0,RJ
Eduardo Pereira,gustavo.nascimento@gmail.com,(14) 96335-6271,65.0,GO
Ana Pereira,,(54) 93554-3893,68.0,RS
Juliana Souza,juliana.ribeiro@gmail.com,(90) 92100-5392,39.0,PE
Bruno Almeida,ana.lima@gmail.com,(44) 98808-4800,76.0,CE
Bruno Nascimento,helena.nascimento@empresa.com,(57) 91944-7046,79.0,RS
Carlos Oliveira,eduardo.oliveira@yahoo.com.br,(10) 99013-8365,79.0,CE
Helena Nascimento,bruno.almeida@gmail.com,(43) 98095-3232,66.0,XX
Carlos Lima,ana.oliveira@hotmail.com,(25) 95279-8380,59.0,SC
Igor Araujo,,,70.0,RJ
Gustavo Pereira,bruno.ribeiro@gmail.com,(32) 95673-1008,51.0,GO
Igor Pereira,carlos.oliveira@gmail.com,(64) 92839-4067,31.0,SP
Eduardo Ribeiro,fernanda.araujo@empresa.com,,39.0,MG
Fernanda Almeida,,(67) 97267-3046,28.0,PE
Igor Almeida,eduardo.nascimento@empresa.com,(46) 98977-8797,45.0,SC
Bruno Pereira,,(76) 94101-3118,22.0,BA
Daniela Souza,ana.nascimento@empresa.com,(54) 92816-9500,62.0,MG
Fernanda Silva,juliana.pereira@hotmail.com,(97) 93894-1095,64.0,SP
Juliana Nascimento,eduardo.nascimento@gmail.com,(64) 99003-3187,66.0,GO
Daniela Araujo,gustavo.nascimento@empresa.com,(81) 90771-9334,71.0,RJ
Daniela Silva,igor.pereira@gmail.com,(70) 98228-1070,75.0,SC
Bruno Silva,juliana.silva@hotmail.com,(75) 92989-3802,50.0,CE
Daniela Souza,gustavo.oliveira@yahoo.com.br,(84) 92119-6839,41.0,RJ
Ana Costa,eduardo.ribeiro@yahoo.com.br,(24) 90064-5485,18.0,RJ
Bruno Nascimento,helena.oliveira@yahoo.com.br,(35) 95660-5247,63.0,GO
Daniela Lima,igor.almeida@hotmail.com,(20) 93466-1813,76.0,PR
Helena Pereira,juliana.araujo@hotmail.com,(72) 99519-3141,76.0,PE
Igor Oliveira,bruno.ribeiro@empresa.com,(84) 90184-3744,53.0,RS
Juliana Araujo,ana.araujo@gmail.com,(12) 90253-3749,28.0,XX
Helena Pereira,bruno.souza@yahoo.com.br,(86) 99198-3231,58.0,PR
Helena Ribeiro,eduardo.souza@gmail.com,(69) 99374-9396,25.0,BA
Daniela Souza,,(41) 95455-5106,,RJ
Bruno Ribeiro,juliana.pereira@gmail.com,(31) 97064-1556,64.0,BA
Fernanda Ribeiro,fernanda.araujo@hotmail.com,(31) 94909-1805,35.0,RJ
Gustavo Almeida,carlos.pereira@yahoo.com.br,(93) 97664-8759,60.0,GO
Ana Souza,gustavo.souza@empresa.com,(11) 93817-8883,35.0,CE
Ana Ribeiro,daniela.pereira@hotmail.com,(23) 98039-2733,45.0,MG
Fernanda Souza,,(16) 96222-9881,76.0,RJ
Daniela Pereira,ana.costa@hotmail.com,(47) 96246-1221,21.0,SC
Daniela Nascimento,carlos.pereira@hotmail.com,(81) 99593-7048,60.0,MG
Helena Oliveira,ana.lima@yahoo.com.br,(30) 90818-9869,51.0,RS
Gustavo Oliveira,fernanda.nascimento@empresa.com,(55) 91380-4060,27.0,BA
Eduardo Almeida,igor.souza@gmail.com,(75) 96826-7278,70.0,BA
Daniela Souza,gustavo.costa@gmail.com,(12) 99380-8482,43.0,RS
Helena Nascimento,ana.oliveira@empresa.com,(47) 99467-5598,53.0,SP
Bruno Silva,fernanda.lima@empresa.com,(23) 97242-2801,58.0,CE
Igor Silva,eduardo.almeida@empresa.com,(84) 91023-4845,64.0,PE
Bruno Pereira,carlos.lima@yahoo.com.br,(74) 98001-5064,40.0,RJ
Carlos Ribeiro,bruno.araujo@hotmail.com,(99) 95634-1350,58.0,PR
Helena Almeida,bruno.ribeiro@empresa.com,(28) 95178-7980,18.0,XX
Daniela Ribeiro,fernanda.silva@hotmail.com,(76) 93338-5408,32.0,PR
Ana Oliveira,daniela.lima@gmail.com,(99) 92216-8234,39.0,SC
Gustavo Silva,eduardo.silva@hotmail.com,(94) 96985-9032,67.0,RJ
Gustavo Lima,juliana.ribeiro@hotmail.com,(49) 93016-6566,27.0,MG
Helena Lima,,(86) 95308-8944,19.0,PR
Gustavo Nascimento,helena.almeida@hotmail.com,(84) 94948-8197,77.0,RJ
Helena Oliveira,,(93) 98137-1845,48.0,GO
Daniela Lima,carlos.lima@yahoo.com.br,,62.0,SC
Daniela Silva,juliana.nascimento@empresa.com,(86) 91367-1771,53.0,PE
Juliana Nascimento,juliana.nascimento@gmail.com,(34) 93587-7580,61.0,PE
Ana Costa,ana.nascimento@empresa.com,(54) 92433-2874,35.0,SP
Ana Silva,igor.silva@hotmail.com,(70) 92941-4309,29.0,PR
Juliana Almeida,gustavo.almeida@gmail.com,(53) 91419-7108,73.0,PR
Igor Nascimento,igor.oliveira@empresa.com,(79) 97108-7888,37.0,GO
Carlos Silva,bruno.lima@gmail.com,(24) 94457-4624,56.0,GO
Igor Souza,bruno.almeida@gmail.com,(17) 96150-2800,66.0,RS
Carlos Souza,eduardo.ribeiro@empresa.com,(48) 92388-2898,59.0,RS
Juliana Souza,igor.souza@yahoo.com.br,(99) 98551-9195,66.0,SP
Daniela Ribeiro,daniela.costa@gmail.com,(53) 94207-2878,50.0,RJ
Bruno Araujo,juliana.oliveira@yahoo.com.br,(59) 95328-6501,58.0,CE
Daniela Araujo,gustavo.ribeiro@empresa.com,(36) 93813-7453,51.0,PE
Juliana Silva,eduardo.nascimento@gmail.com,(64) 95004-9990,73.0,MG
Juliana Souza,gustavo.araujo@yahoo.com.br,(38) 91444-4571,58.0,PR
Gustavo Araujo,igor.araujo@hotmail.com,(43) 90380-1010,63.0,CE
Juliana Nascimento,daniela.araujo@hotmail.com,(82) 98959-1951,43.0,RJ
Fernanda Lima,gustavo.araujo@yahoo.com.br,(23) 90078-7715,77.0,PE
Daniela Costa,igor.almeida@empresa.com,(31) 92968-5484,34.0,SP
Daniela Lima,eduardo.nascimento@yahoo.com.br,(40) 92603-7298,21.0,BA
Gustavo Oliveira,gustavo.araujo@empresa.com,(43) 99315-6148,23.0,RS
Eduardo Almeida,,(75) 99959-9209,53.0,PE
Fernanda Souza,fernanda.costa@empresa.com,(84) 97980-9201,30.0,BA
Ana Almeida,juliana.lima@gmail.com,(52) 95336-2065,63.0,SP
Juliana Araujo,fernanda.silva@hotmail.com,(86) 91847-6674,21.0,BA
Bruno Souza,bruno.souza@yahoo.com.br,(40) 96565-1668,45.0,RS
Igor Pereira,juliana.oliveira@yahoo.com.br,(37) 94419-7015,58.0,BA
Igor Lima,juliana.oliveira@yahoo.com.br,(42) 98746-4357,40.0,PR
Carlos Costa,ana.almeida@hotmail.com,,40.0,GO
Bruno Pereira,fernanda.pereira@yahoo.com.br,(88) 94469-1809,43.0,GO
Fernanda Lima,gustavo.silva@gmail.com,(87) 91138-1548,21.0,RS
Carlos Almeida,fernanda.souza@empresa.com,(63) 99610-6339,38.0,SC
Igor Lima,bruno.almeida@hotmail.com,(79) 91530-9778,18.0,PR
Juliana Nascimento,bruno.ribeiro@hotmail.com,(34) 93123-2405,78.0,XX
Ana Nascimento,ana.pereira@gmail.com,(85) 92759-7379,63.0,MG
Eduardo Souza,juliana.nascimento@gmail.com,(46) 90281-4893,59.0,PR
Carlos Lima,igor.ribeiro@empresa.com,(67) 95685-1047,33.0,SP
Bruno Souza,daniela.ribeiro@gmail.com,(83) 99287-1443,35.0,XX
Igor Oliveira,fernanda.pereira@gmail.com,(65) 94556-1337,57.0,CE
Eduardo Lima,gustavo.oliveira@yahoo.com.br,(17) 96152-8330,22.0,SC
Juliana Pereira,bruno.nascimento@gmail.com,(83) 91713-8235,41.0,RS
Fernanda Pereira,juliana.lima@hotmail.com,(57) 91604-1289,63.0,GO
Eduardo Nascimento,fernanda.costa@gmail.com,(51) 99917-3657,18.0,BA
Helena Lima,juliana.silva@yahoo.com.br,(13) 98852-7266,46.0,CE
Ana Souza,gustavo.almeida@gmail.com,(73) 94739-5448,79.0,CE
Gustavo Lima,ana.silva@yahoo.com.br,(55) 98732-4206,19.0,GO
Ana Silva,,(20) 98605-6969,38.0,PR
Fernanda Oliveira,juliana.lima@yahoo.com.br,(65) 96311-6443,57.0,GO
Eduardo Oliveira,carlos.lima@empresa.com,(82) 94026-5190,26.0,RJ
Helena Nascimento,igor.araujo@empresa.com,(75) 91736-3421,72.0,XX
Gustavo Nascimento,eduardo.oliveira@yahoo.com.br,(62) 98473-9983,21.0,GO
Ana Souza,ana.lima@empresa.com,(25) 90118-8683,51.0,RJ
Bruno Oliveira,gustavo.ribeiro@yahoo.com.br,(90) 99140-7158,73.0,PR
Igor Silva,eduardo.nascimento@empresa.com,(90) 93904-3880,23.0,RS
Fernanda Araujo,,(86) 97607-1652,41.0,PE
Igor Oliveira,gustavo.almeida@empresa.com,(37) 90374-9036,29.0,RS
Gustavo Oliveira,gustavo.silva@gmail.com,(77) 91977-8606,44.0,RJ
Ana Lima,fernanda.ribeiro@gmail.com,(26) 94089-3831,35.0,GO
Fernanda Silva,eduardo.oliveira@empresa.com,(77) 98917-2867,,PR
Fernanda Pereira,ana.lima@hotmail.com,(89) 91905-3710,64.0,PE
Daniela Souza,fernanda.ribeiro@yahoo.com.br,(69) 96858-2613,60.0,CE
Fernanda Nascimento,fernanda.almeida@gmail.com,(22) 98937-1482,40.0,SP
Gustavo Araujo,helena.costa@yahoo.com.br,(74) 94359-6096,68.0,PE
Carlos Pereira,igor.silva@gmail.com,(59) 97672-8122,67.0,PR
Carlos Oliveira,juliana.almeida@hotmail.com,(12) 91001-5160,52.0,BA
Gustavo Silva,eduardo.costa@empresa.com,(27) 95655-8270,43.0,PR
Carlos Costa,daniela.pereira@empresa.com,(50) 98142-2514,45.0,MG
Gustavo Pereira,igor.araujo@yahoo.com.br,(42) 94886-6735,30.0,RJ
Eduardo Oliveira,ana.ribeiro@gmail.com,(66) 99309-6781,46.0,PE
Bruno Ribeiro,carlos.pereira@gmail.com,(60) 91044-5165,49.0,XX
Ana Almeida,fernanda.lima@hotmail.com,(88) 90292-2093,27.0,MG
Daniela Pereira,gustavo.ribeiro@gmail.com,(94) 94335-1459,75.0,RJ
Helena Costa,carlos.oliveira@empresa.com,(85) 90351-6484,59.0,PR
Eduardo Pereira,gustavo.costa@hotmail.com,(92) 94926-6099,73.0,SP
Daniela Silva,eduardo.silva@hotmail.com,(64) 92784-7129,66.0,PE
Daniela Ribeiro,bruno.ribeiro@gmail.com,(24) 96897-6723,53.0,MG
Fernanda Lima,fernanda.araujo@gmail.com,(88) 97483-4556,22.0,RS
Bruno Lima,juliana.costa@hotmail.com,(96) 90788-8495,75.0,GO
Fernanda Nascimento,,(59) 96591-8963,39.0,SP
Gustavo Nascimento,ana.ribeiro@yahoo.com.br,(29) 94206-5874,51.0,SC
